name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mexico City,Mexico",2022-08-19,27.1,10,17.2,27.3,10,17.2,10.9,69.6,0.4,100,12.5,rain,0,0,19.1,11.1,6.5,1017.7,82.8,12.5,269.3,23.4,10,10,2022-08-19T07:18:18,2022-08-19T20:01:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-08-20,27.1,12,17.6,27.3,12,17.6,11.9,71.5,1.8,100,12.5,rain,0,0,22,18.4,55.4,1020.7,89.2,10.9,174.9,15,9,10,2022-08-20T07:18:33,2022-08-20T20:00:59,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-08-21,25.1,13,18.2,25.1,13,18.2,13.9,77.4,1,100,4.17,rain,0,0,19.1,23.6,296.9,1020.3,88.6,10.2,234.2,20.3,10,10,2022-08-21T07:18:48,2022-08-21T20:00:15,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-22,26.1,10,17,26.1,10,17,11.3,72,10.6,100,8.33,rain,0,0,27.7,43.4,41.3,1020.7,62.8,8.1,304.1,26.4,10,10,2022-08-22T07:19:03,2022-08-22T19:59:29,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"76726099999,76679399999,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-08-23,28,11.9,18.6,28.2,11.9,18.6,11.5,65.7,1.7,100,29.17,rain,0,0,48.2,29.5,126.5,1016.1,56.4,13.9,240.1,20.7,10,10,2022-08-23T07:19:17,2022-08-23T19:58:43,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Mexico City,Mexico",2022-08-24,28,10,18.4,28.5,10,18.5,11.3,65.3,0.243,100,8.33,rain,0,0,23.4,18.4,30.7,1019.8,75.7,11.3,299,26,10,10,2022-08-24T07:19:32,2022-08-24T19:57:57,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76679399999,76680099999,MMCB,MMSM,MMTO,MMMX,76675099999"
"Mexico City,Mexico",2022-08-25,27,13.1,18.3,27.6,13.1,18.4,10.4,62.6,2,100,20.83,rain,0,0,25.6,29.5,25.8,1017.6,63.3,15,282,24.4,10,10,2022-08-25T07:19:46,2022-08-25T19:57:10,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Mexico City,Mexico",2022-08-26,24,12.6,17.7,24,12.6,17.7,10.8,65.9,2,100,4.17,rain,0,0,39.6,27.6,6.8,1021,62.7,13.2,310.9,26.9,10,10,2022-08-26T07:20:00,2022-08-26T19:56:22,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMMX,MMTO"
"Mexico City,Mexico",2022-08-27,29.1,9.1,17.7,29.2,8.6,17.7,11.6,69.6,1.1,100,8.33,rain,0,0,14,20.5,58.4,1019.5,65,11.4,207.1,18.1,10,10,2022-08-27T07:20:13,2022-08-27T19:55:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Mexico City,Mexico",2022-08-28,25,14,18.5,25,14,18.5,13,73,14.4,100,16.67,rain,0,0,37.1,25.8,48.7,1019.2,86.1,8.9,192.3,16.5,10,10,2022-08-28T07:20:27,2022-08-28T19:54:45,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
